fiyat;model;yil;km;vites;yakit;renk;boyaDegisen
525000;Grande 1.4 Fire Active;2007;62000;Yarý Otomatik;Benzin;Kýrmýzý; Tamamý orijinal 
595000;EVO 1.4 Dynamic;2012;115000;Düz;LPG & Benzin;Beyaz; 8 boyalý 
505000;Grande 1.4 Fire S&S;2011;50000;Düz;Benzin;Beyaz; Tamamý orijinal 
475000;1.3 Multijet Pop;2013;150000;Düz;Dizel;Beyaz; Tamamý orijinal 
407500;EVO 1.3 Multijet Dynamic;2011;275000;Düz;Dizel;Mavi; 2 deðiþen, 4 boyalý 
475000;EVO 1.3 Multijet Active;2011;161000;Düz;Dizel;Siyah; 1 boyalý 
367000;1.3 Multijet Pop;2012;275000;Düz;Dizel;Beyaz; Tamamý orijinal 
510000;EVO 1.3 Multijet Dynamic;2011;150000;Düz;Dizel;Beyaz; Tamamý orijinal 
513999;Grande 1.4 Fire S&S;2013;101000;Yarý Otomatik;LPG & Benzin;Beyaz; 1 deðiþen, 1 boyalý 
425000;Grande 1.3 Multijet Emotion;2007;257000;Yarý Otomatik;Dizel;Kýrmýzý; 1 deðiþen 
465000;Grande 1.4 Fire Active;2009;119000;Düz;LPG & Benzin;Gri (Gümüþ); Tamamý orijinal 
409000;Grande 1.3 Multijet Active;2012;240000;Düz;Dizel;Gri (Gümüþ); Tamamý orijinal 
360000;Grande 1.3 Multijet 1.3 Multijet;2011;271000;Düz;Dizel;Beyaz; Tamamý orijinal 
350000;Grande 1.3 Multijet Active;2007;240000;Düz;Dizel;Gri; 8 boyalý 
441000;Grande 1.3 Multijet Dynamic;2009;148000;Yarý Otomatik;Dizel;Beyaz; 1 deðiþen, 7 boyalý 
560000;EVO 1.4 Dynamic;2011;135645;Düz;Benzin;Beyaz; Tamamý orijinal 
415000;EVO 1.3 Multijet Dynamic;2012;178000;Düz;Dizel;Beyaz; 2 deðiþen, 4 boyalý 
350000;1.3 Multijet Pop;2013;265000;Düz;Dizel;Beyaz; 4 deðiþen 
450000;EVO 1.4 Dynamic;2011;156000;Düz;LPG & Benzin;Beyaz; Tamamý orijinal 
325000;Grande 1.3 Multijet Dynamic;2006;293000;Düz;Dizel;Kýrmýzý; Tamamý orijinal 
450000;Grande 1.4 Fire Active;2009;180000;Düz;LPG & Benzin;Kýrmýzý; 1 deðiþen, 3 boyalý 
554000;1.4 Popstar S&S;2017;88819;Düz;LPG & Benzin;Beyaz; Tamamý orijinal 
392500;Grande 1.3 Multijet Active;2011;219500;Düz;Dizel;Beyaz; 3 deðiþen, 7 boyalý 
515000;1.4 Pop S&S;2013;124976;Düz;LPG & Benzin;Beyaz; 1 boyalý 
390000;Grande 1.3 Multijet Dynamic;2007;224000;Düz;Dizel;Mavi (metalik); Tamamý orijinal 
475000;Grande 1.2 S5;2010;187000;Düz;LPG & Benzin;Siyah; Tamamý orijinal 
595000;EVO 1.3 Multijet Dynamic;2011;41000;Düz;Dizel;Beyaz; Tamamý orijinal 
510000;1.3 Multijet Easy;2012;150000;Düz;Dizel;Gri; Tamamý orijinal 
575000;1.4 Easy S&S;2013;113000;Yarý Otomatik;Benzin;Kýrmýzý; Tamamý orijinal 
565000;1.3 Multijet Easy;2012;199999;Yarý Otomatik;Dizel;Siyah; Tamamý orijinal 
326000;Grande 1.4 Fire Active;2006;200300;Düz;LPG & Benzin;Siyah; 1 deðiþen, 3 boyalý 
380000;1.3 Multijet Dynamic;2006;275000;Düz;Dizel;Lacivert; Tamamý orijinal 
532000;Grande 1.4 Fire Dynamic;2011;140000;Yarý Otomatik;LPG & Benzin;Gri (Gümüþ); 10 boyalý 
415000;Grande 1.4 Fire Active;2009;167000;Düz;LPG & Benzin;Siyah; 4 boyalý 
460000;1.4 Easy S&S;2013;114000;Yarý Otomatik;LPG & Benzin;Siyah; 9 boyalý 
335000;1.3 Multijet Pop;2012;344000;Düz;Dizel;Beyaz; 1 deðiþen, 7 boyalý 
575000;1.3 Multijet Lounge;2012;145000;Yarý Otomatik;Dizel;Beyaz; Tamamý orijinal 
480000;1.4 Pop S&S;2013;148000;Düz;LPG & Benzin;Gri; 1 boyalý 
398750;EVO 1.3 Multijet Dynamic;2011;245000;Düz;Dizel;Gri (Gümüþ); 2 deðiþen, 7 boyalý 
539000;Grande 1.4 Fire Dynamic;2010;99000;Yarý Otomatik;LPG & Benzin;Gri (Gümüþ); 6 boyalý 
450000;Grande 1.4 Fire Dynamic;2007;190000;Düz;LPG & Benzin;Lacivert; 3 boyalý 
437000;Grande 1.3 Multijet Active;2011;206000;Düz;Dizel;Beyaz; Tamamý orijinal 
420000;EVO 1.4 Fire Dynamic;2011;164600;Düz;LPG & Benzin;Siyah; 1 deðiþen, 3 boyalý 
415000;Grande 1.4 Fire Dynamic;2007;167000;Yarý Otomatik;LPG & Benzin;Kýrmýzý; Tamamý orijinal 
550000;EVO 1.4 Active;2011;155000;Yarý Otomatik;LPG & Benzin;Siyah; Tamamý orijinal 
470000;1.3 Multijet Pop;2012;164000;Düz;Dizel;Beyaz; 4 boyalý 
420000;Grande 1.3 Multijet Dynamic;2008;222000;Düz;Dizel;Siyah; 1 boyalý 
337500;Grande 1.3 Multijet Active;2007;253000;Düz;Dizel;Gri (Gümüþ); Tamamý orijinal 
735000;1.3 Multijet Popstar;2015;115251;Düz;Dizel;Beyaz; 1 boyalý 
550000;Grande 1.3 Multijet Active;2009;87300;Düz;Dizel;Beyaz; 1 boyalý 
385000;1.3 Multijet Dynamic;2008;225000;Otomatik;Dizel;Gri; 9 boyalý 
375000;1.2 Pop;2014;170000;Düz;LPG & Benzin;Beyaz; 1 deðiþen, 1 boyalý 
270000;1.3 Multijet Dynamic;2005;296000;Düz;Dizel;Gri; 2 boyalý 
440000;Grande 1.3 Multijet Active;2011;164000;Düz;Dizel;Gri; 1 deðiþen, 10 boyalý 
465000;EVO 1.3 Multijet Active;2011;132000;Düz;Dizel;Gri (Gümüþ); Tamamý orijinal 
449500;Grande 1.4 Fire Active;2008;212000;Yarý Otomatik;LPG & Benzin;Gri (Gümüþ); 7 boyalý 
490000;Grande 1.4 Fire Active;2010;106000;Düz;LPG & Benzin;Gri (Gümüþ); Tamamý orijinal 
330000;Grande 1.3 Multijet Active;2006;267000;Düz;Dizel;Gri (titanyum); 1 deðiþen, 6 boyalý 
375000;1.3 Multijet Dynamic;2006;263000;Düz;Dizel;Füme; Tamamý orijinal 
585000;1.4 Easy S&S;2016;98000;Yarý Otomatik;Benzin;Beyaz; Tamamý orijinal 
457000;Grande 1.4 Fire Dynamic;2008;197000;Yarý Otomatik;Benzin;Kýrmýzý; Tamamý orijinal 
455000;Grande 1.3 Multijet Active;2011;164000;Düz;Dizel;Gri (Gümüþ); Tamamý orijinal 
505000;1.4 Pop S&S;2014;192000;Düz;LPG & Benzin;Beyaz; Tamamý orijinal 
350000;1.2 Pop;2004;250000;Yarý Otomatik;Benzin;Gri (metalik); 1 deðiþen 
395000;EVO 1.3 Multijet Active;2009;217000;Düz;Dizel;Gri (titanyum); 4 boyalý 
525000;EVO 1.4 Active;2011;58000;Otomatik;Benzin;Kýrmýzý; Tamamý orijinal 
385000;Grande 1.3 Multijet Dynamic;2007;182290;Yarý Otomatik;Dizel;Gri (titanyum); Tamamý orijinal 
515000;Grande 1.4 Fire Dynamic;2009;186000;Yarý Otomatik;LPG & Benzin;Gri (titanyum); 9 boyalý 
420000;Grande 1.3 Multijet Dynamic;2008;183000;Düz;Dizel;Gri (titanyum); Tamamý orijinal 
300000;1.3 Multijet Dynamic;2005;290000;Düz;Dizel;Mavi; 2 boyalý 
480000;1.3 Multijet Popstar;2014;220000;Düz;Dizel;Beyaz; 5 boyalý 
505000;EVO 1.4 Dynamic;2013;75500;Düz;LPG & Benzin;Gri; 2 boyalý 
285000;Grande 1.3 Multijet Active;2006;370000;Düz;Dizel;Kýrmýzý; Tamamý orijinal 
450000;EVO 1.4 Active;2011;127500;Düz;LPG & Benzin;Gri (Gümüþ); 3 boyalý 
519750;1.3 Multijet Popstar;2014;189000;Düz;Dizel;Beyaz; Tamamý orijinal 
390000;Grande 1.3 Multijet Active;2006;260000;Düz;Dizel;Gri (metalik); 1 deðiþen, 3 boyalý 
445000;Grande 1.4 Fire Dynamic;2008;117500;Düz;Benzin;Gri (Gümüþ); Tamamý orijinal 
385500;1.3 Multijet Pop;2012;205000;Düz;Dizel;Gri; 4 boyalý 
380000;1.3 Multijet Dynamic;2009;230000;Düz;Dizel;Siyah;Tamamý orijinal
463000;EVO 1.3 Multijet Active;2011;255000;Düz;Dizel;Siyah; 4 boyalý 
327000;Grande 1.4 Fire Dynamic;2007;153000;Düz;LPG & Benzin;Gri (metalik); Tamamý orijinal 
478000;Grande 1.3 Multijet Dynamic;2007;164000;Yarý Otomatik;Dizel;Gri (Gümüþ); Tamamý orijinal 
470000;EVO 1.4 Fire My Life;2011;155000;Düz;LPG & Benzin;Beyaz; Tamamý orijinal 
329900;1.2 Dynamic;2006;214000;Otomatik;Benzin;Gri; Tamamý orijinal 
360000;1.3 Multijet Dynamic;2005;295000;Düz;Dizel;Füme; Tamamý orijinal 
555000;Grande 1.4 T-Jet Dynamic;2008;186000;Düz;LPG & Benzin;Siyah; 2 boyalý 
398500;Grande 1.3 Multijet Dynamic;2011;220100;Düz;Dizel;Gri (Gümüþ); 2 deðiþen, 5 boyalý 
455000;EVO 1.4 Active;2010;319000;Yarý Otomatik;LPG & Benzin;Gri (titanyum); 11 boyalý 
419000;Grande 1.4 Fire Active;2006;59000;Düz;Benzin;Gri; 5 boyalý 
445000;Grande 1.3 Multijet Dynamic;2007;242004;Yarý Otomatik;Dizel;Kýrmýzý; Tamamý orijinal 
375000;1.4 Dynamic;2006;206444;Düz;Benzin;Gri; Tamamý orijinal 
575000;1.4 Mair Lounge S&S;2012;103000;Düz;Benzin;Mavi (metalik); Tamamý orijinal 
425000;1.3 Multijet Easy;2012;225000;Düz;Dizel;Gri (metalik); 1 deðiþen, 11 boyalý 
510000;EVO 1.3 Multijet Dynamic;2011;108008;Düz;Dizel;Gri (Gümüþ); 3 boyalý 
320000;1.3 JTD;2005;350000;Düz;Dizel;Lacivert; 1 deðiþen 
490000;Grande 1.4 Fire Active;2008;127000;Yarý Otomatik;Benzin;Kýrmýzý; 3 boyalý 
470000;Grande 1.4 Fire Active;2008;145000;Yarý Otomatik;Benzin;Kýrmýzý; Tamamý orijinal 
430000;Grande 1.3 Multijet Dynamic;2006;230000;Düz;Dizel;Gri (metalik); 1 deðiþen, 2 boyalý 
385000;Grande 1.3 Multijet 1.3 Multijet;2011;225000;Düz;Dizel;Beyaz; Tamamý orijinal 
460000;Grande 1.4 Fire Active;2008;54000;Yarý Otomatik;Benzin;Siyah; 4 boyalý 
410000;1.3 Multijet Pop;2012;212500;Düz;Dizel;Siyah; 3 boyalý 
405000;Grande 1.3 Multijet Dynamic;2009;215000;Düz;Dizel;Siyah; 1 boyalý 
570000;1.2 Popstar;2014;154750;Düz;Benzin;Bej; 2 deðiþen, 3 boyalý 
575750;EVO 1.3 Multijet Dynamic;2011;144000;Yarý Otomatik;Dizel;Beyaz; Tamamý orijinal 
429000;EVO 1.3 Multijet Active;2011;161000;Düz;Dizel;Siyah; 1 boyalý 
435000;EVO 1.3 Multijet Active;2011;173400;Düz;Dizel;Gri; 1 deðiþen, 7 boyalý 
350000;Grande 1.3 Multijet Dynamic;2006;271000;Düz;Dizel;Kýrmýzý; 3 boyalý 
540000;1.3 Multijet Easy;2012;151000;Düz;Dizel;Yeþil (metalik); Tamamý orijinal 
539900;Grande 1.4 Fire Active;2011;115000;Yarý Otomatik;Benzin;Beyaz; Tamamý orijinal 
378000;Grande 1.3 Multijet Active;2006;200450;Düz;Dizel;Kahverengi; 4 boyalý 
370500;1.4 Dynamic;2005;166500;Düz;LPG & Benzin;Gri; 1 boyalý 
443500;1.4 Easy S&S;2012;102000;Düz;LPG & Benzin;Kýrmýzý; 7 boyalý 
530000;1.3 Multijet Lounge;2013;152500;Düz;Dizel;Siyah; 1 boyalý 
330000;1.3 Multijet Dynamic;2005;345000;Düz;Dizel;Gri (Gümüþ); Tamamý orijinal 
479900;Grande 1.3 Multijet 1.3 Multijet;2011;125357;Düz;Dizel;Gri; 3 boyalý 
450000;1.4 Easy S&S;2013;223000;Düz;LPG & Benzin;Beyaz; Tamamý orijinal 
298800;1.3 Multijet Dynamic;2004;248500;Düz;Dizel;Gri; 1 deðiþen, 7 boyalý 
494900;EVO 1.3 Multijet Active;2010;139000;Düz;Dizel;Beyaz; Tamamý orijinal 
385000;1.3 Multijet Pop;2013;303000;Düz;Dizel;Beyaz; 1 deðiþen, 6 boyalý 
430000;1.3 Multijet Easy;2012;280000;Düz;Dizel;Beyaz; 1 deðiþen, 6 boyalý 
540000;EVO 1.3 Multijet Dynamic;2011;135000;Düz;Dizel;Beyaz; 1 boyalý 
430000;Grande 1.4 Fire Active;2009;160000;Düz;LPG & Benzin;Gri; 2 deðiþen, 6 boyalý 
260000;1.3 Multijet Dynamic;2004;309000;Düz;Dizel;Mavi; Tamamý orijinal 
539000;EVO 1.4 Dynamic;2012;110000;Yarý Otomatik;Benzin;Beyaz; Tamamý orijinal 
465000;1.4 Easy S&S;2012;151000;Düz;Benzin;Beyaz; 1 deðiþen, 2 boyalý 
365000;1.3 Multijet Dynamic;2007;238000;Düz;Dizel;Siyah; 5 boyalý 
435000;1.4 Popstar S&S;2016;111000;Düz;Benzin;Kýrmýzý; Tamamý orijinal 
467500;Grande 1.3 Multijet Active;2009;198300;Düz;Dizel;Gri; 1 deðiþen 
460000;Grande 1.4 Fire Active;2008;185500;Yarý Otomatik;LPG & Benzin;Siyah; Tamamý orijinal 
575000;Grande 1.4 Fire Dynamic;2012;110000;Yarý Otomatik;Benzin;Siyah; 1 boyalý 
575000;EVO 1.4 Active;2012;95428;Yarý Otomatik;Benzin;Beyaz; Tamamý orijinal 
355000;Grande 1.3 Multijet 1.3 Multijet;2011;285000;Düz;Dizel;Gri (Gümüþ); 1 deðiþen, 3 boyalý 
449000;1.2 Pop;2012;129500;Düz;LPG & Benzin;Gri (titanyum); Tamamý orijinal 
500000;1.4 Pop S&S;2012;138000;Düz;LPG & Benzin;Gri (Gümüþ); Tamamý orijinal 
360000;1.3 Multijet Dynamic;2006;222550;Düz;Dizel;Gri; 1 boyalý 
335000;Grande 1.4 Fire Dynamic;2006;176000;Düz;LPG & Benzin;Kýrmýzý; 2 deðiþen, 11 boyalý 
528000;1.4 Easy S&S;2012;69982;Yarý Otomatik;Benzin;Kýrmýzý; 2 boyalý 
455000;Grande 1.4 Fire Active;2011;167964;Düz;LPG & Benzin;Gri (Gümüþ); 2 boyalý 
470000;1.3 Multijet Pop;2013;149300;Düz;Dizel;Beyaz; 3 boyalý 
500000;1.3 Multijet Lounge;2012;159000;Düz;Dizel;Gri (Gümüþ); Tamamý orijinal 
505000;1.3 Multijet Pop;2012;183000;Düz;Dizel;Beyaz; 3 boyalý 
415000;Grande 1.4 Fire Dynamic;2006;153000;Düz;LPG & Benzin;Gri (Gümüþ); 1 deðiþen, 10 boyalý 
430000;EVO 1.4 Multiair Dynamic;2010;249800;Düz;Benzin;Siyah; 5 boyalý 
435000;Grande 1.3 Multijet Dynamic;2008;185750;Düz;Dizel;Gri (Gümüþ); Tamamý orijinal 
610000;1.4 Popstar S&S;2014;40000;Düz;Benzin;Kýrmýzý; Tamamý orijinal 
495000;1.2 Popstar;2014;73000;Düz;Benzin;Beyaz; Tamamý orijinal 
550000;Grande 1.3 Multijet Active;2007;84000;Düz;Dizel;Beyaz; Tamamý orijinal 
350000;1.4 Dynamic;2005;158000;Düz;LPG & Benzin;Gri; Tamamý orijinal 
440000;Grande 1.3 Multijet 1.3 Multijet;2011;180000;Düz;Dizel;Gri; 3 boyalý 
340000;Grande 1.3 Multijet Active;2008;248000;Düz;Dizel;Gri; Tamamý orijinal 
584850;1.3 Multijet Lounge;2012;276000;Düz;Dizel;Siyah; Tamamý orijinal 
330000;Grande 1.3 Multijet Active;2006;270000;Düz;Dizel;Mavi; 12 boyalý 
425000;Grande 1.4 Fire Active;2007;195000;Düz;LPG & Benzin;Siyah; 4 boyalý 
268500;1.3 Multijet Shine;2006;248000;Düz;Dizel;Gri (Gümüþ); Tamamý orijinal 
450000;1.3 Multijet Pop;2013;187000;Düz;Dizel;Beyaz; 2 boyalý 
355000;Grande 1.3 Multijet Dynamic;2007;298000;Düz;Dizel;Siyah; 1 boyalý 
500000;1.4 Easy S&S;2012;157000;Düz;LPG & Benzin;Beyaz; Tamamý orijinal 
397000;Grande 1.3 Multijet Dynamic;2006;243000;Düz;Dizel;Yeþil; 7 boyalý 
495000;1.4 Pop S&S;2013;87200;Yarý Otomatik;Benzin;Beyaz; 3 boyalý 
475000;Grande 1.4 Fire Dynamic;2010;187000;Düz;LPG & Benzin;Beyaz; 1 deðiþen, 4 boyalý 
615000;Grande 1.4 Fire Dynamic;2011;46500;Yarý Otomatik;Benzin;Beyaz; Tamamý orijinal 
475000;Grande 1.3 Multijet 1.3 Multijet;2011;153000;Düz;Dizel;Beyaz; 1 boyalý 
600000;1.3 Multijet Pop;2013;85000;Düz;Dizel;Gri; Tamamý orijinal 
465000;EVO 1.3 Multijet Dynamic;2011;117000;Düz;Dizel;Gri (metalik); 1 deðiþen, 5 boyalý 
430000;1.3 Multijet Pop;2012;192000;Düz;Dizel;Beyaz; 1 deðiþen, 3 boyalý 
489000;1.2 Popstar;2015;145000;Düz;Benzin;Beyaz; Tamamý orijinal 
550000;1.4 Dynamic;2011;215000;Yarý Otomatik;LPG & Benzin;Gri (Gümüþ); Tamamý orijinal 
550000;EVO 1.4 Active;2012;110000;Düz;Benzin;Siyah; Tamamý orijinal 
460000;EVO 1.4 Active;2011;158000;Yarý Otomatik;LPG & Benzin;Beyaz; 4 boyalý 
385000;Grande 1.3 Multijet Active;2008;130900;Düz;Dizel;Mavi; 1 deðiþen, 1 boyalý 
410000;1.4 Dynamic;2007;158500;Yarý Otomatik;Benzin;Kýrmýzý; 3 boyalý 
399000;Grande 1.3 Multijet Dynamic;2007;235000;Düz;Dizel;Gri (metalik); 2 boyalý 
595000;1.4 Easy S&S;2012;101691;Yarý Otomatik;Benzin;Beyaz; Tamamý orijinal 
540000;1.3 Multijet Pop;2013;99800;Düz;Dizel;Beyaz; Tamamý orijinal 
445000;1.4 Dynamic;2006;160000;Düz;LPG & Benzin;Gri; Tamamý orijinal 
460000;Grande 1.4 Fire Active;2007;188000;Yarý Otomatik;LPG & Benzin;Siyah; 1 deðiþen, 4 boyalý 
400000;Grande 1.4 Fire Active;2007;176600;Düz;LPG & Benzin;Beyaz; 4 boyalý 
369750;Grande 1.3 Multijet Active;2008;278000;Düz;Dizel;Beyaz; 5 boyalý 
450000;Grande 1.4 Fire Dynamic;2008;197500;Yarý Otomatik;LPG & Benzin;Kahverengi; Tamamý orijinal 
435000;Grande 1.3 Multijet Active;2008;174000;Düz;Dizel;Füme; 4 boyalý 
413000;Grande 1.4 Fire Active;2008;164600;Yarý Otomatik;Benzin;Kýrmýzý; 1 deðiþen 
570000;EVO 1.4 Multiair Dynamic;2012;130000;Düz;Benzin;Beyaz; Tamamý orijinal 
345000;EVO 1.3 Multijet Active;2012;318000;Düz;Dizel;Beyaz; Tamamý orijinal 
435000;Grande 1.3 Multijet 1.3 Multijet;2014;243000;Düz;Dizel;Beyaz; 2 deðiþen, 4 boyalý 
415000;Grande 1.3 Multijet Active;2011;215000;Düz;Dizel;Beyaz; 1 deðiþen, 4 boyalý 
525000;EVO 1.4 Dynamic;2010;155000;Yarý Otomatik;LPG & Benzin;Siyah; 6 boyalý 
469900;1.3 Multijet Pop;2012;176372;Düz;Dizel;Mavi; 4 boyalý 
590000;1.3 Multijet Lounge;2012;80000;Yarý Otomatik;Dizel;Bordo; Tamamý orijinal 
545000;EVO 1.4 Fire Dynamic;2011;156000;Düz;Benzin;Siyah; 2 boyalý 
389500;1.4 Pop S&S;2012;234000;Düz;LPG & Benzin;Beyaz; 10 boyalý 
473000;Grande 1.3 Multijet Dynamic;2008;172000;Yarý Otomatik;Dizel;Siyah; Tamamý orijinal 
395000;Grande 1.4 Fire Active;2007;230000;Düz;LPG & Benzin;Kýrmýzý; 2 deðiþen, 6 boyalý 
590000;1.4 Mair Lounge S&S;2012;90000;Düz;Benzin;Siyah; 2 deðiþen 
410000;Grande 1.4 Fire Active;2007;177000;Yarý Otomatik;LPG & Benzin;Gri (Gümüþ); Tamamý orijinal 
390000;Grande 1.3 Multijet 1.3 Multijet;2011;262000;Düz;Dizel;Beyaz; 10 boyalý 
360000;EVO 1.3 Multijet Active;2011;305000;Düz;Dizel;Gri (Gümüþ); Tamamý orijinal 
540000;EVO 1.4 Fire My Life;2011;69514;Düz;LPG & Benzin;Gri; Tamamý orijinal 
380000;Grande 1.4 Fire Active;2007;192896;Otomatik;Benzin;Gri; 1 deðiþen 
553500;1.3 Multijet Pop;2014;161000;Düz;Dizel;Beyaz; Tamamý orijinal 
495000;EVO 1.3 Multijet My Life;2011;273000;Düz;Dizel;Gri (titanyum); 1 boyalý 
385000;1.2 Dynamic;2005;189500;Otomatik;LPG & Benzin;Füme; Tamamý orijinal 
445000;EVO 1.3 Multijet Dynamic;2011;267000;Düz;Dizel;Siyah; 1 deðiþen 
550000;1.4 Lounge S&S;2013;123000;Yarý Otomatik;Benzin;Beyaz; Tamamý orijinal 
520000;EVO 1.4 Multiair Dynamic;2010;104000;Düz;Benzin;Siyah; 1 deðiþen 
520000;1.4 Easy S&S;2013;203000;Düz;LPG & Benzin;Beyaz; Tamamý orijinal 
345000;Grande 1.3 Multijet Dynamic;2008;320000;Düz;Dizel;Gri; Tamamý orijinal 
369750;Grande 1.3 Multijet Active;2008;246000;Düz;Dizel;Beyaz; 1 deðiþen, 3 boyalý 
345000;Grande 1.3 Multijet Active;2007;278000;Düz;Dizel;Kýrmýzý; Tamamý orijinal 
408000;Grande 1.4 Fire Active;2008;241000;Düz;LPG & Benzin;Gri (Gümüþ); Tamamý orijinal 
470000;EVO 1.3 Multijet Dynamic;2010;110000;Düz;Dizel;Gri (Gümüþ); Tamamý orijinal 
437750;EVO 1.3 Multijet Dynamic;2011;298000;Yarý Otomatik;Dizel;Beyaz; 3 deðiþen, 7 boyalý 
397500;EVO 1.3 Multijet Active;2011;240000;Düz;Dizel;Gri (metalik); 2 deðiþen, 2 boyalý 
479000;1.3 Multijet Easy;2013;184000;Düz;Dizel;Gri; 1 deðiþen 
395000;EVO 1.3 Multijet Active;2010;245000;Düz;Dizel;Gri (Gümüþ); 12 boyalý 
579000;1.3 Multijet Lounge;2012;140000;Yarý Otomatik;Dizel;Siyah; Tamamý orijinal 
560000;1.4 Mair Lounge S&S;2012;97800;Düz;Benzin;Siyah; Tamamý orijinal 
529950;1.2 Pop;2012;215000;Otomatik;Benzin;Siyah; 1 boyalý 
459950;EVO 1.4 Active;2010;141000;Düz;Benzin;Siyah; 3 deðiþen, 6 boyalý 
569750;EVO 1.4 Fire Dynamic;2011;96000;Yarý Otomatik;LPG & Benzin;Siyah; Tamamý orijinal 
519500;1.4 Lounge S&S;2012;157500;Yarý Otomatik;LPG & Benzin;Beyaz; 2 boyalý 
450000;Grande 1.4 Fire Active;2006;147000;Düz;LPG & Benzin;Bej; 5 boyalý 
450000;1.3 Multijet Pop;2012;250000;Düz;Dizel;Beyaz; 1 boyalý 
467000;EVO 1.4 Dynamic;2011;90000;Düz;Benzin;Gri (Gümüþ); 1 deðiþen 
530000;1.3 Multijet Pop;2012;125000;Düz;Dizel;Beyaz; 2 boyalý 
585000;1.4 Pop S&S;2012;118000;Yarý Otomatik;LPG & Benzin;Beyaz; Tamamý orijinal 
425000;1.3 Multijet Pop;2013;211000;Düz;Dizel;Beyaz; 1 boyalý 
485000;EVO 1.3 Multijet Active;2012;137000;Düz;Dizel;Kýrmýzý; 2 boyalý 
445000;Grande 1.3 Multijet Active;2007;187800;Düz;Dizel;Gri (metalik); 4 boyalý 
455000;1.3 Multijet Popstar;2014;183000;Düz;Dizel;Beyaz; 3 deðiþen 
497500;1.2 Pop;2012;128500;Düz;Benzin;Beyaz; Tamamý orijinal 
599000;EVO 1.4 Dynamic;2011;143000;Yarý Otomatik;Benzin;Beyaz; Tamamý orijinal 
510000;Grande 1.3 Multijet 1.3 Multijet;2012;105000;Düz;Dizel;Beyaz; Tamamý orijinal 
390000;Grande 1.3 Multijet Dynamic;2008;207000;Düz;Dizel;Siyah; Tamamý orijinal 
300000;1.3 Multijet Dynamic;2004;266500;Düz;Dizel;Gri (Gümüþ); Tamamý orijinal 
430000;EVO 1.4 Multiair Dynamic;2011;276000;Düz;LPG & Benzin;Kýrmýzý; 1 deðiþen, 2 boyalý 
530000;1.3 Multijet Lounge;2014;165000;Düz;Dizel;Beyaz; Tamamý orijinal 
495000;Grande 1.3 Multijet Dynamic;2009;134600;Düz;Dizel;Beyaz; 3 boyalý 
430000;Grande 1.3 Multijet Active;2008;210000;Düz;Dizel;Kýrmýzý; 1 deðiþen, 1 boyalý 
442500;Grande 1.3 Multijet Dynamic;2007;234000;Düz;Dizel;Kýrmýzý; 8 boyalý 
465000;1.4 Dynamic;2008;121000;Düz;LPG & Benzin;Gri; Tamamý orijinal 
